,data,osservati,stimati
0,2020-10-23 00:00:00+00:00,12514.0,12514.0
1,2020-10-24 00:00:00+00:00,13642.0,13414.125690542656
2,2020-10-25 00:00:00+00:00,14828.0,14263.258367754057
3,2020-10-26 00:00:00+00:00,15769.0,15064.69900087522
4,2020-10-27 00:00:00+00:00,17080.0,15821.536737778179
5,2020-10-28 00:00:00+00:00,18230.0,16536.660882148248
6,2020-10-29 00:00:00+00:00,19713.0,17212.775962029424
7,2020-10-30 00:00:00+00:00,21421.0,17852.41171824323
8,2020-10-31 00:00:00+00:00,23213.0,18457.93493205975
9,2020-11-01 00:00:00+00:00,24917.0,19031.560121961727
10,2020-11-02 00:00:00+00:00,26492.0,19575.359117158532
11,2020-11-03 00:00:00+00:00,28348.0,20091.27032400953
12,2020-11-04 00:00:00+00:00,29974.0,20581.107275283724
13,2020-11-05 00:00:00+00:00,31976.0,21046.566546237842
14,2020-11-06 00:00:00+00:00,33730.0,21489.23590799804
15,2020-11-07 00:00:00+00:00,35649.0,21910.600673927795
16,2020-11-08 00:00:00+00:00,37852.0,22312.0499913097
17,2020-11-09 00:00:00+00:00,39630.0,22694.883916911425
18,2020-11-10 00:00:00+00:00,41780.0,23060.318636546937
19,2020-11-11 00:00:00+00:00,43891.0,23409.49202528815
20,2020-11-12 00:00:00+00:00,46024.0,23743.468734189122
21,2020-11-13 00:00:00+00:00,48156.0,24063.244755739608
22,2020-11-14 00:00:00+00:00,50562.0,24369.751873794143
23,2020-11-15 00:00:00+00:00,53201.0,24663.861831091104
24,2020-11-16 00:00:00+00:00,55429.0,24946.39023251866
25,2020-11-17 00:00:00+00:00,57268.0,25218.100101715467
26,2020-11-18 00:00:00+00:00,59319.0,25479.705299653564
27,2020-11-19 00:00:00+00:00,61009.0,25731.8736810197
28,2020-11-20 00:00:00+00:00,62934.0,25975.230068039567
29,2020-11-21 00:00:00+00:00,65080.0,26210.358887259586
30,2020-11-22 00:00:00+00:00,67274.0,26437.80706960415
31,2020-11-23 00:00:00+00:00,69380.0,26658.086166179062
32,2020-11-24 00:00:00+00:00,71344.0,26871.674805805655
33,2020-11-25 00:00:00+00:00,72526.0,27079.02074317733
