,data,codice_regione,denominazione_regione,totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,tamponi
4,2020-02-24T18:00:00,8,Emilia-Romagna,18,18,0,0,148
25,2020-02-25T18:00:00,8,Emilia-Romagna,26,8,0,0,391
46,2020-02-26T18:00:00,8,Emilia-Romagna,46,21,0,1,577
67,2020-02-27T18:00:00,8,Emilia-Romagna,96,50,0,1,1033
88,2020-02-28T18:00:00,8,Emilia-Romagna,143,48,0,2,1277
109,2020-02-29T17:00:00,8,Emilia-Romagna,213,72,0,4,1550
130,2020-03-01T17:00:00,8,Emilia-Romagna,277,68,0,8,1795
151,2020-03-02T18:00:00,8,Emilia-Romagna,324,50,0,11,1973
172,2020-03-03T18:00:00,8,Emilia-Romagna,398,85,4,18,2012
193,2020-03-04T17:00:00,8,Emilia-Romagna,516,124,6,22,2500
214,2020-03-05T17:00:00,8,Emilia-Romagna,658,154,10,30,2884
235,2020-03-06T17:00:00,8,Emilia-Romagna,816,172,17,37,3136
256,2020-03-07T18:00:00,8,Emilia-Romagna,937,140,25,48,3604
277,2020-03-08T18:00:00,8,Emilia-Romagna,1097,170,27,56,4344
298,2020-03-09T18:00:00,8,Emilia-Romagna,1286,206,30,70,4906
319,2020-03-10T18:00:00,8,Emilia-Romagna,1417,147,31,85,5494
340,2020-03-11T17:00:00,8,Emilia-Romagna,1588,206,38,113,6640
361,2020-03-12T17:00:00,8,Emilia-Romagna,1758,208,43,146,7600
382,2020-03-13T17:00:00,8,Emilia-Romagna,2011,316,51,201,8787
403,2020-03-14T17:00:00,8,Emilia-Romagna,2349,381,54,241,10043
424,2020-03-15T17:00:00,8,Emilia-Romagna,2741,449,68,284,12054
445,2020-03-16T17:00:00,8,Emilia-Romagna,3088,429,88,346,13096
466,2020-03-17T17:00:00,8,Emilia-Romagna,3404,409,134,393,14510
487,2020-03-18T17:00:00,8,Emilia-Romagna,3915,594,152,458,15461
508,2020-03-19T17:00:00,8,Emilia-Romagna,4506,689,177,531,18344
529,2020-03-20T17:00:00,8,Emilia-Romagna,5089,754,239,640,20753
550,2020-03-21T17:00:00,8,Emilia-Romagna,5661,737,329,715,24620
571,2020-03-22T17:00:00,8,Emilia-Romagna,6390,850,349,816,28022
592,2020-03-23T17:00:00,8,Emilia-Romagna,7220,980,423,892,31200
613,2020-03-24T17:00:00,8,Emilia-Romagna,7711,719,558,985,33527
634,2020-03-25T17:00:00,8,Emilia-Romagna,8256,800,721,1077,38045
655,2020-03-26T17:00:00,8,Emilia-Romagna,8850,762,792,1174,42395
676,2020-03-27T17:00:00,8,Emilia-Romagna,9361,772,960,1267,47798
697,2020-03-28T17:00:00,8,Emilia-Romagna,9964,795,1075,1344,52991
718,2020-03-29T17:00:00,8,Emilia-Romagna,10535,736,1141,1443,52991
739,2020-03-30T17:00:00,8,Emilia-Romagna,10766,412,1227,1538,50990
760,2020-03-31T17:00:00,8,Emilia-Romagna,10953,543,1477,1644,54532
781,2020-04-01T17:00:00,8,Emilia-Romagna,11489,713,1566,1732,58457
802,2020-04-02T17:00:00,8,Emilia-Romagna,11859,546,1663,1811,60507
823,2020-04-03T17:00:00,8,Emilia-Romagna,12178,599,1852,1902,63682
844,2020-04-04T17:00:00,8,Emilia-Romagna,12523,608,2040,1977,67075
865,2020-04-05T17:00:00,8,Emilia-Romagna,12837,549,2201,2051,69986
886,2020-04-06T17:00:00,8,Emilia-Romagna,13051,467,2397,2108,72163
907,2020-04-07T17:00:00,8,Emilia-Romagna,13048,269,2597,2180,75191
928,2020-04-08T17:00:00,8,Emilia-Romagna,13110,409,2890,2234,78367
949,2020-04-09T17:00:00,8,Emilia-Romagna,13258,443,3103,2316,81715
970,2020-04-10T17:00:00,8,Emilia-Romagna,13350,451,3381,2397,85884
991,2020-04-11T17:00:00,8,Emilia-Romagna,13495,507,3659,2481,91759
1012,2020-04-12T17:00:00,8,Emilia-Romagna,13672,463,3862,2564,96704
1033,2020-04-13T17:00:00,8,Emilia-Romagna,13818,342,4007,2615,99047
