,data,codice_regione,denominazione_regione,totale_positivi,dimessi_guariti,deceduti
4,2020-02-24T18:00:00,8,Emilia-Romagna,18,0,0
25,2020-02-25T18:00:00,8,Emilia-Romagna,26,0,0
46,2020-02-26T18:00:00,8,Emilia-Romagna,46,0,1
67,2020-02-27T18:00:00,8,Emilia-Romagna,96,0,1
88,2020-02-28T18:00:00,8,Emilia-Romagna,143,0,2
109,2020-02-29T17:00:00,8,Emilia-Romagna,213,0,4
130,2020-03-01T17:00:00,8,Emilia-Romagna,277,0,8
151,2020-03-02T18:00:00,8,Emilia-Romagna,324,0,11
172,2020-03-03T18:00:00,8,Emilia-Romagna,398,4,18
193,2020-03-04T17:00:00,8,Emilia-Romagna,516,6,22
214,2020-03-05T17:00:00,8,Emilia-Romagna,658,10,30
235,2020-03-06T17:00:00,8,Emilia-Romagna,816,17,37
256,2020-03-07T18:00:00,8,Emilia-Romagna,937,25,48
277,2020-03-08T18:00:00,8,Emilia-Romagna,1097,27,56
298,2020-03-09T18:00:00,8,Emilia-Romagna,1286,30,70
319,2020-03-10T18:00:00,8,Emilia-Romagna,1417,31,85
340,2020-03-11T17:00:00,8,Emilia-Romagna,1588,38,113
361,2020-03-12T17:00:00,8,Emilia-Romagna,1758,43,146
382,2020-03-13T17:00:00,8,Emilia-Romagna,2011,51,201
403,2020-03-14T17:00:00,8,Emilia-Romagna,2349,54,241
424,2020-03-15T17:00:00,8,Emilia-Romagna,2741,68,284
445,2020-03-16T17:00:00,8,Emilia-Romagna,3088,88,346
466,2020-03-17T17:00:00,8,Emilia-Romagna,3404,134,393
487,2020-03-18T17:00:00,8,Emilia-Romagna,3915,152,458
508,2020-03-19T17:00:00,8,Emilia-Romagna,4506,177,531
529,2020-03-20T17:00:00,8,Emilia-Romagna,5089,239,640
550,2020-03-21T17:00:00,8,Emilia-Romagna,5661,329,715
571,2020-03-22T17:00:00,8,Emilia-Romagna,6390,349,816
592,2020-03-23T17:00:00,8,Emilia-Romagna,7220,423,892
613,2020-03-24T17:00:00,8,Emilia-Romagna,7711,558,985
634,2020-03-25T17:00:00,8,Emilia-Romagna,8256,721,1077
655,2020-03-26T17:00:00,8,Emilia-Romagna,8850,792,1174
676,2020-03-27T17:00:00,8,Emilia-Romagna,9361,960,1267
697,2020-03-28T17:00:00,8,Emilia-Romagna,9964,1075,1344
718,2020-03-29T17:00:00,8,Emilia-Romagna,10535,1141,1443
739,2020-03-30T17:00:00,8,Emilia-Romagna,10766,1227,1538
760,2020-03-31T17:00:00,8,Emilia-Romagna,10953,1477,1644
781,2020-04-01T17:00:00,8,Emilia-Romagna,11489,1566,1732
802,2020-04-02T17:00:00,8,Emilia-Romagna,11859,1663,1811
823,2020-04-03T17:00:00,8,Emilia-Romagna,12178,1852,1902
844,2020-04-04T17:00:00,8,Emilia-Romagna,12523,2040,1977
865,2020-04-05T17:00:00,8,Emilia-Romagna,12837,2201,2051
886,2020-04-06T17:00:00,8,Emilia-Romagna,13051,2397,2108
907,2020-04-07T17:00:00,8,Emilia-Romagna,13048,2597,2180
928,2020-04-08T17:00:00,8,Emilia-Romagna,13110,2890,2234
949,2020-04-09T17:00:00,8,Emilia-Romagna,13258,3103,2316
970,2020-04-10T17:00:00,8,Emilia-Romagna,13350,3381,2397
991,2020-04-11T17:00:00,8,Emilia-Romagna,13495,3659,2481
1012,2020-04-12T17:00:00,8,Emilia-Romagna,13672,3862,2564
1033,2020-04-13T17:00:00,8,Emilia-Romagna,13818,4007,2615
1054,2020-04-14T17:00:00,8,Emilia-Romagna,13778,4269,2705
1075,2020-04-15T17:00:00,8,Emilia-Romagna,13577,4664,2788
1096,2020-04-16T17:00:00,8,Emilia-Romagna,13663,4980,2843
1117,2020-04-17T17:00:00,8,Emilia-Romagna,13585,5346,2903
1138,2020-04-18T17:00:00,8,Emilia-Romagna,13584,5635,2965
1159,2020-04-19T17:00:00,8,Emilia-Romagna,13552,5985,3023
1180,2020-04-20T17:00:00,8,Emilia-Romagna,13522,6266,3079
1201,2020-04-21T17:00:00,8,Emilia-Romagna,13244,6701,3147
1222,2020-04-22T17:00:00,8,Emilia-Romagna,13084,7146,3204
1243,2020-04-23T17:00:00,8,Emilia-Romagna,12845,7609,3269
1264,2020-04-24T17:00:00,8,Emilia-Romagna,12509,8158,3303
1285,2020-04-25T17:00:00,8,Emilia-Romagna,12347,8515,3347
1306,2020-04-26T17:00:00,8,Emilia-Romagna,12341,8723,3386
1327,2020-04-27T17:00:00,8,Emilia-Romagna,12225,9006,3431
1348,2020-04-28T17:00:00,8,Emilia-Romagna,12003,9439,3472
1369,2020-04-29T17:00:00,8,Emilia-Romagna,11862,9803,3512
1390,2020-04-30T17:00:00,8,Emilia-Romagna,9563,12322,3551
1411,2020-05-01T17:00:00,8,Emilia-Romagna,9484,12581,3579
1432,2020-05-02T17:00:00,8,Emilia-Romagna,9323,12913,3614
1453,2020-05-03T17:00:00,8,Emilia-Romagna,9045,13329,3642
1474,2020-05-04T17:00:00,8,Emilia-Romagna,8984,13525,3666
1495,2020-05-05T17:00:00,8,Emilia-Romagna,8681,13889,3705
1516,2020-05-06T17:00:00,8,Emilia-Romagna,8391,14251,3737
1537,2020-05-07T17:00:00,8,Emilia-Romagna,8011,14710,3766
1558,2020-05-08T17:00:00,8,Emilia-Romagna,7730,15071,3797
1579,2020-05-09T17:00:00,8,Emilia-Romagna,7401,15491,3827
1600,2020-05-10T17:00:00,8,Emilia-Romagna,7191,15760,3845
1621,2020-05-11T17:00:00,8,Emilia-Romagna,7040,15969,3867
1642,2020-05-12T17:00:00,8,Emilia-Romagna,6801,16243,3885
1663,2020-05-13T17:00:00,8,Emilia-Romagna,6502,16572,3905
1684,2020-05-14T17:00:00,8,Emilia-Romagna,6301,16825,3930
1705,2020-05-15T17:00:00,8,Emilia-Romagna,6001,17166,3943
1726,2020-05-16T17:00:00,8,Emilia-Romagna,5852,17370,3960
1747,2020-05-17T17:00:00,8,Emilia-Romagna,5656,17603,3973
1768,2020-05-18T17:00:00,8,Emilia-Romagna,5525,17756,3986
1789,2020-05-19T17:00:00,8,Emilia-Romagna,5330,17987,3997
1810,2020-05-20T17:00:00,8,Emilia-Romagna,5098,18258,4008
1831,2020-05-21T17:00:00,8,Emilia-Romagna,4926,18466,4025
1852,2020-05-22T17:00:00,8,Emilia-Romagna,4730,18703,4037
1873,2020-05-23T17:00:00,8,Emilia-Romagna,4570,18896,4047
1894,2020-05-24T17:00:00,8,Emilia-Romagna,4457,19046,4055
1915,2020-05-25T17:00:00,8,Emilia-Romagna,4359,19160,4068
1936,2020-05-26T17:00:00,8,Emilia-Romagna,4146,19389,4076
1957,2020-05-27T17:00:00,8,Emilia-Romagna,3998,19546,4083
1978,2020-05-28T17:00:00,8,Emilia-Romagna,3750,19857,4094
1999,2020-05-29T17:00:00,8,Emilia-Romagna,3564,20073,4102
2020,2020-05-30T17:00:00,8,Emilia-Romagna,3279,20373,4107
2041,2020-05-31T17:00:00,8,Emilia-Romagna,3163,20513,4114
2062,2020-06-01T17:00:00,8,Emilia-Romagna,3068,20617,4124
2083,2020-06-02T17:00:00,8,Emilia-Romagna,2912,20780,4136
2104,2020-06-03T17:00:00,8,Emilia-Romagna,2839,20856,4147
2125,2020-06-04T17:00:00,8,Emilia-Romagna,2688,21018,4154
2146,2020-06-05T17:00:00,8,Emilia-Romagna,2512,21198,4167
2167,2020-06-06T17:00:00,8,Emilia-Romagna,2416,21307,4171
2188,2020-06-07T17:00:00,8,Emilia-Romagna,2328,21405,4175
2209,2020-06-08T17:00:00,8,Emilia-Romagna,2282,21467,4179
2230,2020-06-09T17:00:00,8,Emilia-Romagna,2156,21605,4185
2251,2020-06-10T17:00:00,8,Emilia-Romagna,2061,21717,4192
2272,2020-06-11T17:00:00,8,Emilia-Romagna,2000,21803,4192
2293,2020-06-12T17:00:00,8,Emilia-Romagna,1817,22015,4196
2314,2020-06-13T17:00:00,8,Emilia-Romagna,1727,22130,4199
2335,2020-06-14T17:00:00,8,Emilia-Romagna,1637,22232,4204
2356,2020-06-15T17:00:00,8,Emilia-Romagna,1500,22377,4207
2377,2020-06-16T17:00:00,8,Emilia-Romagna,1405,22483,4209
2398,2020-06-17T17:00:00,8,Emilia-Romagna,1345,22551,4215
2419,2020-06-18T17:00:00,8,Emilia-Romagna,1281,22643,4219
2440,2020-06-19T17:00:00,8,Emilia-Romagna,1219,22727,4224
2461,2020-06-20T17:00:00,8,Emilia-Romagna,1207,22761,4230
2482,2020-06-21T17:00:00,8,Emilia-Romagna,1172,22818,4231
2503,2020-06-22T17:00:00,8,Emilia-Romagna,1154,22854,4235
2524,2020-06-23T17:00:00,8,Emilia-Romagna,1089,22935,4236
2545,2020-06-24T17:00:00,8,Emilia-Romagna,1074,22985,4245
2566,2020-06-25T17:00:00,8,Emilia-Romagna,1068,23034,4249
2587,2020-06-26T17:00:00,8,Emilia-Romagna,1044,23097,4252
2608,2020-06-27T17:00:00,8,Emilia-Romagna,1041,23142,4252
2629,2020-06-28T17:00:00,8,Emilia-Romagna,1042,23161,4253
2650,2020-06-29T17:00:00,8,Emilia-Romagna,1032,23185,4255
2671,2020-06-30T17:00:00,8,Emilia-Romagna,1010,23222,4260
2692,2020-07-01T17:00:00,8,Emilia-Romagna,1002,23242,4264
2713,2020-07-02T17:00:00,8,Emilia-Romagna,1003,23267,4265
2734,2020-07-03T17:00:00,8,Emilia-Romagna,1011,23284,4267
2755,2020-07-04T17:00:00,8,Emilia-Romagna,1037,23309,4267
2776,2020-07-05T17:00:00,8,Emilia-Romagna,1029,23340,4268
2797,2020-07-06T17:00:00,8,Emilia-Romagna,1064,23343,4268
2818,2020-07-07T17:00:00,8,Emilia-Romagna,1060,23377,4269
2839,2020-07-08T17:00:00,8,Emilia-Romagna,1071,23415,4269
2860,2020-07-09T17:00:00,8,Emilia-Romagna,1066,23434,4269
2881,2020-07-10T17:00:00,8,Emilia-Romagna,1113,23440,4269
2902,2020-07-11T17:00:00,8,Emilia-Romagna,1119,23481,4269
2923,2020-07-12T17:00:00,8,Emilia-Romagna,1180,23491,4269
2944,2020-07-13T17:00:00,8,Emilia-Romagna,1193,23496,4269
2965,2020-07-14T17:00:00,8,Emilia-Romagna,1189,23511,4271
2986,2020-07-15T17:00:00,8,Emilia-Romagna,1170,23548,4271
3007,2020-07-16T17:00:00,8,Emilia-Romagna,1198,23566,4271
3028,2020-07-17T17:00:00,8,Emilia-Romagna,1228,23586,4273
3049,2020-07-18T17:00:00,8,Emilia-Romagna,1234,23619,4274
3070,2020-07-19T17:00:00,8,Emilia-Romagna,1266,23638,4274
3091,2020-07-20T17:00:00,8,Emilia-Romagna,1298,23645,4277
3112,2020-07-21T17:00:00,8,Emilia-Romagna,1297,23662,4279
3133,2020-07-22T17:00:00,8,Emilia-Romagna,1325,23689,4281
3154,2020-07-23T17:00:00,8,Emilia-Romagna,1350,23719,4281
3175,2020-07-24T17:00:00,8,Emilia-Romagna,1372,23758,4283
3196,2020-07-25T17:00:00,8,Emilia-Romagna,1399,23778,4284
3217,2020-07-26T17:00:00,8,Emilia-Romagna,1444,23793,4285
3238,2020-07-27T17:00:00,8,Emilia-Romagna,1456,23814,4285
3259,2020-07-28T17:00:00,8,Emilia-Romagna,1459,23830,4286
3280,2020-07-29T17:00:00,8,Emilia-Romagna,1451,23865,4287
3301,2020-07-30T17:00:00,8,Emilia-Romagna,1471,23874,4289
3322,2020-07-31T17:00:00,8,Emilia-Romagna,1496,23885,4289
3343,2020-08-01T17:00:00,8,Emilia-Romagna,1510,23925,4291
3364,2020-08-02T17:00:00,8,Emilia-Romagna,1540,23943,4291
3385,2020-08-03T17:00:00,8,Emilia-Romagna,1560,23957,4291
3406,2020-08-04T17:00:00,8,Emilia-Romagna,1581,23978,4291
3427,2020-08-05T17:00:00,8,Emilia-Romagna,1609,23997,4291
3448,2020-08-06T17:00:00,8,Emilia-Romagna,1652,24011,4291
3469,2020-08-07T17:00:00,8,Emilia-Romagna,1675,24041,4292
3490,2020-08-08T17:00:00,8,Emilia-Romagna,1712,24046,4294
3511,2020-08-09T17:00:00,8,Emilia-Romagna,1760,24066,4295
3532,2020-08-10T17:00:00,8,Emilia-Romagna,1791,24073,4296
3553,2020-08-11T17:00:00,8,Emilia-Romagna,1790,24091,4298
3574,2020-08-12T17:00:00,8,Emilia-Romagna,1807,24115,4298
3595,2020-08-13T17:00:00,8,Emilia-Romagna,1827,24132,4298
3616,2020-08-14T17:00:00,8,Emilia-Romagna,1866,24150,4298
3637,2020-08-15T17:00:00,8,Emilia-Romagna,1754,24178,4453
3658,2020-08-16T17:00:00,8,Emilia-Romagna,1805,24178,4453
3679,2020-08-17T17:00:00,8,Emilia-Romagna,1814,24210,4453
3700,2020-08-18T17:00:00,8,Emilia-Romagna,1789,24255,4454
3721,2020-08-19T17:00:00,8,Emilia-Romagna,1795,24324,4455
3742,2020-08-20T17:00:00,8,Emilia-Romagna,1816,24355,4455
3763,2020-08-21T17:00:00,8,Emilia-Romagna,1861,24392,4455
3784,2020-08-22T17:00:00,8,Emilia-Romagna,1925,24408,4455
3805,2020-08-23T17:00:00,8,Emilia-Romagna,2034,24425,4456
3826,2020-08-24T17:00:00,8,Emilia-Romagna,2139,24434,4458
3847,2020-08-25T17:00:00,8,Emilia-Romagna,2189,24447,4458
3868,2020-08-26T17:00:00,8,Emilia-Romagna,2301,24455,4458
3889,2020-08-27T17:00:00,8,Emilia-Romagna,2467,24460,4458
3910,2020-08-28T17:00:00,8,Emilia-Romagna,2621,24467,4459
3931,2020-08-29T17:00:00,8,Emilia-Romagna,2769,24468,4459
3952,2020-08-30T17:00:00,8,Emilia-Romagna,2868,24478,4459
3973,2020-08-31T17:00:00,8,Emilia-Romagna,2977,24482,4463
3994,2020-09-01T17:00:00,8,Emilia-Romagna,3061,24497,4463
4015,2020-09-02T17:00:00,8,Emilia-Romagna,3103,24562,4463
4036,2020-09-03T17:00:00,8,Emilia-Romagna,3185,24598,4463
4057,2020-09-04T17:00:00,8,Emilia-Romagna,3189,24719,4463
4078,2020-09-05T17:00:00,8,Emilia-Romagna,3251,24790,4463
4099,2020-09-06T17:00:00,8,Emilia-Romagna,3370,24794,4464
4120,2020-09-07T17:00:00,8,Emilia-Romagna,3493,24803,4464
4141,2020-09-08T17:00:00,8,Emilia-Romagna,3532,24857,4465
4162,2020-09-09T17:00:00,8,Emilia-Romagna,3554,24942,4467
4183,2020-09-10T17:00:00,8,Emilia-Romagna,3611,24994,4468
4204,2020-09-11T17:00:00,8,Emilia-Romagna,3730,25027,4468
4225,2020-09-12T17:00:00,8,Emilia-Romagna,3827,25067,4469
4246,2020-09-13T17:00:00,8,Emilia-Romagna,3939,25096,4469
4267,2020-09-14T17:00:00,8,Emilia-Romagna,4064,25098,4469
4288,2020-09-15T17:00:00,8,Emilia-Romagna,4102,25184,4470
4309,2020-09-16T17:00:00,8,Emilia-Romagna,4179,25213,4470
4330,2020-09-17T17:00:00,8,Emilia-Romagna,4277,25224,4471
4351,2020-09-18T17:00:00,8,Emilia-Romagna,4369,25252,4472
4372,2020-09-19T17:00:00,8,Emilia-Romagna,4438,25313,4474
4393,2020-09-20T17:00:00,8,Emilia-Romagna,4529,25335,4476
4414,2020-09-21T17:00:00,8,Emilia-Romagna,4618,25361,4477
4435,2020-09-22T17:00:00,8,Emilia-Romagna,4633,25400,4478
4456,2020-09-23T17:00:00,8,Emilia-Romagna,4613,25520,4479
4477,2020-09-24T17:00:00,8,Emilia-Romagna,4627,25604,4480
4498,2020-09-25T17:00:00,8,Emilia-Romagna,4651,25701,4481
4519,2020-09-26T17:00:00,8,Emilia-Romagna,4717,25734,4481
4540,2020-09-27T17:00:00,8,Emilia-Romagna,4682,25864,4482
4561,2020-09-28T17:00:00,8,Emilia-Romagna,4685,25946,4482
4582,2020-09-29T17:00:00,8,Emilia-Romagna,4710,26016,4484
4603,2020-09-30T17:00:00,8,Emilia-Romagna,4653,26174,4484
4624,2020-10-01T17:00:00,8,Emilia-Romagna,4654,26276,4484
4645,2020-10-02T17:00:00,8,Emilia-Romagna,4677,26416,4484
4666,2020-10-03T17:00:00,8,Emilia-Romagna,4790,26468,4485
4687,2020-10-04T17:00:00,8,Emilia-Romagna,4954,26482,4486
4708,2020-10-05T17:00:00,8,Emilia-Romagna,5046,26556,4487
4729,2020-10-06T17:00:00,8,Emilia-Romagna,5154,26617,4490
4750,2020-10-07T17:00:00,8,Emilia-Romagna,5295,26668,4491
4771,2020-10-08T17:00:00,8,Emilia-Romagna,5424,26722,4492
4792,2020-10-09T17:00:00,8,Emilia-Romagna,5609,26812,4493
4813,2020-10-10T17:00:00,8,Emilia-Romagna,5976,26827,4494
4834,2020-10-11T17:00:00,8,Emilia-Romagna,6349,26837,4495
4855,2020-10-12T17:00:00,8,Emilia-Romagna,6673,26849,4496
4876,2020-10-13T17:00:00,8,Emilia-Romagna,6876,26982,4498
